order_id,customer_id,product_id,order_date,delivery_date,payment_mode,customer_review,order_quantity,order_status
ORD00001,CUST01314,PROD0239,02-02-2022,04-02-2022,Cash,4,1,Delivered
ORD00002,CUST02044,PROD0164,16-04-2023,,Card,,4,Cancelled
ORD00003,CUST04484,PROD0051,20-05-2024,,Card,,4,Cancelled
ORD00004,CUST00092,PROD0155,08-06-2024,17-06-2024,UPI,4,2,Delivered
ORD00005,CUST03896,PROD0048,16-09-2024,19-09-2024,Cash,4,2,Delivered
ORD00006,CUST04176,PROD0182,16-09-2022,18-09-2022,Cash,2,2,Delivered
ORD00007,CUST03251,PROD0132,30-05-2022,,UPI,,3,Cancelled
ORD00008,CUST02379,PROD0217,24-10-2023,,Cash,3,1,Returned
ORD00009,CUST00197,PROD0240,28-03-2024,02-04-2024,Card,3,4,Delivered
ORD00010,CUST04068,PROD0018,22-11-2022,28-11-2022,Cash,1,1,Delivered
ORD00011,CUST00232,PROD0102,14-12-2023,18-12-2023,UPI,3,1,Delivered
ORD00012,CUST03470,PROD0072,15-09-2022,23-09-2022,UPI,3,2,Delivered
ORD00013,CUST03113,PROD0104,28-12-2024,03-01-2025,Cash,2,1,Delivered
ORD00014,CUST00519,PROD0042,17-01-2024,19-01-2024,UPI,1,1,Delivered
ORD00015,CUST00856,PROD0114,09-01-2023,15-01-2023,UPI,5,2,Delivered
ORD00016,CUST04038,PROD0077,06-04-2022,16-04-2022,UPI,4,5,Delivered
ORD00017,CUST03325,PROD0099,01-12-2022,11-12-2022,Cash,1,5,Delivered
ORD00018,CUST03408,PROD0092,17-07-2022,24-07-2022,Cash,2,5,Delivered
ORD00019,CUST00365,PROD0149,10-12-2024,14-12-2024,Cash,4,1,Delivered
ORD00020,CUST01403,PROD0223,27-01-2022,03-02-2022,Cash,3,4,Delivered
ORD00021,CUST02993,PROD0208,20-06-2024,,Cash,2,4,Returned
ORD00022,CUST02733,PROD0070,04-11-2023,14-11-2023,UPI,2,1,Delivered
ORD00023,CUST01090,PROD0109,19-04-2024,28-04-2024,Card,4,2,Delivered
ORD00024,CUST01410,PROD0019,04-08-2024,10-08-2024,UPI,4,3,Delivered
ORD00025,CUST04126,PROD0026,30-05-2023,,Cash,,4,Cancelled
ORD00026,CUST04854,PROD0078,28-02-2024,05-03-2024,UPI,2,5,Delivered
ORD00027,CUST00133,PROD0074,08-03-2023,13-03-2023,Card,2,3,Delivered
ORD00028,CUST04449,PROD0225,25-12-2022,04-01-2023,Cash,1,1,Delivered
ORD00029,CUST04082,PROD0058,29-05-2022,05-06-2022,UPI,5,4,Delivered
ORD00030,CUST04265,PROD0139,14-04-2024,,Card,,4,Cancelled
ORD00031,CUST01456,PROD0225,30-08-2024,03-09-2024,Card,1,2,Delivered
ORD00032,CUST04643,PROD0077,17-09-2023,27-09-2023,Card,5,3,Delivered
ORD00033,CUST00001,PROD0171,13-10-2024,22-10-2024,UPI,4,3,Delivered
ORD00034,CUST00349,PROD0192,12-01-2024,22-01-2024,Card,4,2,Delivered
ORD00035,CUST03601,PROD0127,06-08-2024,14-08-2024,Cash,5,2,Delivered
ORD00036,CUST00545,PROD0107,05-06-2022,13-06-2022,Card,5,5,Delivered
ORD00037,CUST03366,PROD0097,17-12-2022,25-12-2022,UPI,2,5,Delivered
ORD00038,CUST02214,PROD0205,24-10-2022,,Cash,1,4,Returned
ORD00039,CUST00832,PROD0003,23-07-2023,02-08-2023,Cash,3,1,Delivered
ORD00040,CUST03040,PROD0225,31-03-2022,08-04-2022,UPI,2,4,Delivered
ORD00041,CUST01503,PROD0047,29-08-2023,,UPI,,2,Cancelled
ORD00042,CUST03656,PROD0181,08-01-2023,14-01-2023,Card,2,2,Delivered
ORD00043,CUST04857,PROD0103,03-03-2023,,UPI,,5,Cancelled
ORD00044,CUST00672,PROD0243,14-09-2022,16-09-2022,Cash,3,4,Delivered
ORD00045,CUST00259,PROD0006,24-09-2022,27-09-2022,UPI,1,2,Delivered
ORD00046,CUST01517,PROD0197,04-08-2023,11-08-2023,Card,1,3,Delivered
ORD00047,CUST03595,PROD0042,23-04-2023,26-04-2023,UPI,1,1,Delivered
ORD00048,CUST01529,PROD0029,03-01-2023,08-01-2023,Cash,1,3,Delivered
ORD00049,CUST02986,PROD0080,30-01-2023,08-02-2023,UPI,2,3,Delivered
ORD00050,CUST00533,PROD0119,08-06-2022,16-06-2022,Card,3,5,Delivered
ORD00051,CUST01278,PROD0010,15-08-2023,23-08-2023,Card,3,2,Delivered
ORD00052,CUST03743,PROD0027,06-11-2024,14-11-2024,Cash,4,3,Delivered
ORD00053,CUST02428,PROD0090,22-09-2022,26-09-2022,Cash,3,4,Delivered
ORD00054,CUST03111,PROD0102,06-09-2024,15-09-2024,UPI,1,3,Delivered
